country,year,sex,age_group,value
BN,2000,f,55-64,3
BO,2000,f,55-64,192
BR,2000,f,55-64,2384
BS,2000,f,55-64,3
BT,2000,f,55-64,3
BW,2000,f,55-64,57
BZ,2000,f,55-64,1
CA,2000,f,55-64,12
CD,2000,f,55-64,855
CH,2000,f,55-64,1
CK,2000,f,55-64,0
CL,2000,f,55-64,58
CM,2000,f,55-64,60
CN,2000,f,55-64,7102
CO,2000,f,55-64,304
CR,2000,f,55-64,23
CU,2000,f,55-64,23
CZ,2000,f,55-64,7
DJ,2000,f,55-64,17
DK,2000,f,55-64,7
DO,2000,f,55-64,79
DZ,2000,f,55-64,208
EE,2000,f,55-64,4
EG,2000,f,55-64,112
ER,2000,f,55-64,12
ET,2000,f,55-64,366
FI,2000,f,55-64,6
FJ,2000,f,55-64,4
FM,2000,f,55-64,1
FR,2000,f,55-64,43
GB,2000,f,55-64,31
GE,2000,f,55-64,10
GH,2000,f,55-64,179
GN,2000,f,55-64,82
GR,2000,f,55-64,6
GT,2000,f,55-64,87
GU,2000,f,55-64,2
GW,2000,f,55-64,15
GY,2000,f,55-64,5
HK,2000,f,55-64,45
HN,2000,f,55-64,160
HT,2000,f,55-64,132
HU,2000,f,55-64,10
IE,2000,f,55-64,7
IL,2000,f,55-64,7
IN,2000,f,55-64,4594
IQ,2000,f,55-64,103
IR,2000,f,55-64,407
IT,2000,f,55-64,19
JM,2000,f,55-64,5
JO,2000,f,55-64,2
JP,2000,f,55-64,384
KE,2000,f,55-64,347
KG,2000,f,55-64,30
KH,2000,f,55-64,1459
KI,2000,f,55-64,1
KM,2000,f,55-64,2
KP,2000,f,55-64,591
KR,2000,f,55-64,295
KW,2000,f,55-64,3
KZ,2000,f,55-64,202
LA,2000,f,55-64,91
LB,2000,f,55-64,4
LC,2000,f,55-64,1
LK,2000,f,55-64,144
LR,2000,f,55-64,16
LS,2000,f,55-64,36
LT,2000,f,55-64,22
LV,2000,f,55-64,7
LY,2000,f,55-64,16
MA,2000,f,55-64,406
MD,2000,f,55-64,14
MH,2000,f,55-64,2
MK,2000,f,55-64,5
ML,2000,f,55-64,75
MM,2000,f,55-64,592
MN,2000,f,55-64,26
MO,2000,f,55-64,3
MP,2000,f,55-64,1
MU,2000,f,55-64,7
MV,2000,f,55-64,5
MW,2000,f,55-64,148
MX,2000,f,55-64,595
MY,2000,f,55-64,356
NA,2000,f,55-64,76
NC,2000,f,55-64,2
NE,2000,f,55-64,63
NG,2000,f,55-64,344
NI,2000,f,55-64,46
NL,2000,f,55-64,5
NO,2000,f,55-64,2
NP,2000,f,55-64,419
NR,2000,f,55-64,1
NZ,2000,f,55-64,4
OM,2000,f,55-64,11
PA,2000,f,55-64,12
PE,2000,f,55-64,499
PF,2000,f,55-64,0
PG,2000,f,55-64,5
PK,2000,f,55-64,103
PL,2000,f,55-64,82
PR,2000,f,55-64,1
PT,2000,f,55-64,25
PY,2000,f,55-64,30
QA,2000,f,55-64,0
RO,2000,f,55-64,207
RU,2000,f,55-64,31
RW,2000,f,55-64,52
SA,2000,f,55-64,50
SB,2000,f,55-64,5
SC,2000,f,55-64,1
SD,2000,f,55-64,327
SE,2000,f,55-64,2
SG,2000,f,55-64,5
SI,2000,f,55-64,3
SK,2000,f,55-64,4
SL,2000,f,55-64,49
SN,2000,f,55-64,107
SO,2000,f,55-64,72
SR,2000,f,55-64,1
ST,2000,f,55-64,4
SV,2000,f,55-64,39
SY,2000,f,55-64,38
SZ,2000,f,55-64,24
TG,2000,f,55-64,24
TH,2000,f,55-64,1016
TM,2000,f,55-64,34
TN,2000,f,55-64,21
TO,2000,f,55-64,1
TT,2000,f,55-64,2
TZ,2000,f,55-64,494
UA,2000,f,55-64,218
UG,2000,f,55-64,316
US,2000,f,55-64,152
UY,2000,f,55-64,12
UZ,2000,f,55-64,112
VC,2000,f,55-64,0
VN,2000,f,55-64,2847
VU,2000,f,55-64,3
WS,2000,f,55-64,0
YE,2000,f,55-64,247
ZA,2000,f,55-64,167
ZM,2000,f,55-64,112
AE,2000,f,65-100,4
AF,2000,f,65-100,36
AG,2000,f,65-100,0
AL,2000,f,65-100,11
AM,2000,f,65-100,4
AN,2000,f,65-100,0
AO,2000,f,65-100,120
AR,2000,f,65-100,216
AT,2000,f,65-100,22
AU,2000,f,65-100,14
AZ,2000,f,65-100,0
BA,2000,f,65-100,124
BB,2000,f,65-100,0
BD,2000,f,65-100,370
BE,2000,f,65-100,27
BF,2000,f,65-100,14
BG,2000,f,65-100,6
BH,2000,f,65-100,1
BJ,2000,f,65-100,25
BN,2000,f,65-100,4
BO,2000,f,65-100,233
BR,2000,f,65-100,2496
BS,2000,f,65-100,1
BT,2000,f,65-100,2
BW,2000,f,65-100,36
BZ,2000,f,65-100,4
CA,2000,f,65-100,66
CD,2000,f,65-100,351
CH,2000,f,65-100,6
CK,2000,f,65-100,0
CL,2000,f,65-100,83
CM,2000,f,65-100,33
CN,2000,f,65-100,6296
CO,2000,f,65-100,510
CR,2000,f,65-100,24
CU,2000,f,65-100,39
CZ,2000,f,65-100,57
DJ,2000,f,65-100,10
DK,2000,f,65-100,8
DO,2000,f,65-100,75
DZ,2000,f,65-100,312
EE,2000,f,65-100,10
EG,2000,f,65-100,48
ER,2000,f,65-100,8
ET,2000,f,65-100,122
FI,2000,f,65-100,49
FJ,2000,f,65-100,0
FM,2000,f,65-100,1
FR,2000,f,65-100,155
GB,2000,f,65-100,67
GE,2000,f,65-100,5
GH,2000,f,65-100,176
GN,2000,f,65-100,45
GR,2000,f,65-100,25
GT,2000,f,65-100,111
GU,2000,f,65-100,2
GW,2000,f,65-100,12
GY,2000,f,65-100,3
HK,2000,f,65-100,211
HN,2000,f,65-100,38
HT,2000,f,65-100,71
HU,2000,f,65-100,30
IE,2000,f,65-100,15
IL,2000,f,65-100,25
IN,2000,f,65-100,2697
IQ,2000,f,65-100,87
IR,2000,f,65-100,647
IT,2000,f,65-100,39
JM,2000,f,65-100,1
JO,2000,f,65-100,5
JP,2000,f,65-100,1958
KE,2000,f,65-100,148
KG,2000,f,65-100,29
KH,2000,f,65-100,892
KI,2000,f,65-100,3
KM,2000,f,65-100,1
KP,2000,f,65-100,357
KR,2000,f,65-100,795
KW,2000,f,65-100,1
KZ,2000,f,65-100,204
LA,2000,f,65-100,71
LB,2000,f,65-100,6
LC,2000,f,65-100,0
LK,2000,f,65-100,113
LR,2000,f,65-100,16
LS,2000,f,65-100,29
LT,2000,f,65-100,48
LV,2000,f,65-100,15
LY,2000,f,65-100,22
MA,2000,f,65-100,352
MD,2000,f,65-100,6
MH,2000,f,65-100,0
MK,2000,f,65-100,10
ML,2000,f,65-100,43
MM,2000,f,65-100,378
MN,2000,f,65-100,17
MO,2000,f,65-100,13
MP,2000,f,65-100,1
MU,2000,f,65-100,4
MV,2000,f,65-100,2
MW,2000,f,65-100,64
MX,2000,f,65-100,709
MY,2000,f,65-100,286
NA,2000,f,65-100,52
NC,2000,f,65-100,4
NE,2000,f,65-100,9
NG,2000,f,65-100,231
NI,2000,f,65-100,61
NL,2000,f,65-100,10
NO,2000,f,65-100,5
NP,2000,f,65-100,228
NZ,2000,f,65-100,10
OM,2000,f,65-100,6
PA,2000,f,65-100,16
PE,2000,f,65-100,624
PF,2000,f,65-100,0
PG,2000,f,65-100,1
PK,2000,f,65-100,56
PL,2000,f,65-100,421
PR,2000,f,65-100,3
PT,2000,f,65-100,64
PY,2000,f,65-100,46
QA,2000,f,65-100,0
RO,2000,f,65-100,321
RU,2000,f,65-100,44
RW,2000,f,65-100,14
SA,2000,f,65-100,70
SB,2000,f,65-100,2
SD,2000,f,65-100,323
SE,2000,f,65-100,15
SG,2000,f,65-100,16
SI,2000,f,65-100,20
SK,2000,f,65-100,54
SL,2000,f,65-100,30
SN,2000,f,65-100,61
SO,2000,f,65-100,41
SR,2000,f,65-100,1
ST,2000,f,65-100,15
SV,2000,f,65-100,47
SY,2000,f,65-100,28
SZ,2000,f,65-100,5
TG,2000,f,65-100,15
TH,2000,f,65-100,1321
TM,2000,f,65-100,17
TN,2000,f,65-100,58
TO,2000,f,65-100,1
TT,2000,f,65-100,4
TZ,2000,f,65-100,269
UA,2000,f,65-100,405
UG,2000,f,65-100,163
US,2000,f,65-100,396
UY,2000,f,65-100,16
UZ,2000,f,65-100,111
VC,2000,f,65-100,0
VN,2000,f,65-100,4907
VU,2000,f,65-100,1
WS,2000,f,65-100,0
YE,2000,f,65-100,92
ZA,2000,f,65-100,80
ZM,2000,f,65-100,75
